,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
0,0.878866257152,0.0743821054692,0.0,0.678117848922,6.0,1.0,0.616408972682,1.0,0.640968500664,1.0,0.603149568855,0.0,1.40379523839
1,0.786210311189,0.731166335659,1.0,0.300038921211,8.0,6.0,0.196483370491,1.0,0.0294403653944,6.0,0.321963670151,0.0,1.42723213267
2,0.271699543181,0.139232372073,0.0,0.0797312706378,7.0,5.0,0.874134902459,1.0,0.720054220005,2.0,0.64266989214,0.0,0.569813137649
3,0.686874512504,0.231666089317,1.0,0.572522771017,3.0,0.0,0.873218974199,1.0,0.965356816657,8.0,1.00423513227,0.0,1.20894262178
4,0.970328982031,0.546017488627,0.0,0.963756569969,6.0,7.0,1.0022421846,1.0,0.881175378918,1.0,0.951919590436,1.0,2.83249553631
5,0.455573002814,0.45727036986,0.0,0.687938105576,6.0,2.0,0.81797285093,1.0,0.508672571296,6.0,0.228743324191,0.0,0.8491708843
6,0.705701638781,0.353740214395,0.0,0.210857215424,2.0,5.0,0.1383152856,1.0,0.808801782627,7.0,0.68906167439,0.0,1.54963715571
7,0.890946265092,0.830651173159,1.0,0.412818463194,6.0,5.0,0.818191269623,0.0,0.373027856782,4.0,0.545431282414,0.0,1.5209589855
8,1.0018952798,0.512807754246,0.0,0.278047834186,15.0,5.0,0.448448513193,1.0,0.520651524858,1.0,0.27917895197,0.0,2.62673659166
9,0.586802899144,0.341805927975,0.0,0.269169000975,3.0,2.0,0.705168691563,1.0,0.25460941679,1.0,0.331992380389,0.0,0.48880458248
10,0.300701658863,0.237832053772,1.0,0.533014617877,7.0,4.0,0.423870649956,1.0,0.151054066355,6.0,0.24389597372,0.0,0.585224051724
11,0.790843947431,0.169390448385,1.0,0.37059849334,12.0,1.0,0.262684861541,1.0,0.894947334146,7.0,0.375575532062,0.0,1.71343150637
12,0.339650606863,0.930100409302,1.0,0.502760205217,2.0,5.0,0.849879063227,1.0,0.944145210614,5.0,0.990293641359,0.0,2.08257713524
13,0.485803085714,0.517423661527,1.0,0.243048295033,7.0,3.0,1.01765830378,0.0,0.987486859437,0.0,0.474738457664,0.0,1.31597664251
14,0.809747631399,0.499946969699,1.0,0.225806326908,16.0,3.0,0.694245624342,1.0,0.723335238106,6.0,0.824967421386,1.0,2.67861447283
